rule,seed_mean,seed_std,pose_rmse_mean,pose_rmse_std,align_rmse_mean,align_rmse_std,trust_yield_mean,trust_yield_std,accept_rate_mean,accept_rate_std,airtime_util_mean,airtime_util_std,n_delivered_mean,n_delivered_std,bytes_sent_mean,bytes_sent_std,starvation_mean,starvation_std,sched_ms_mean,sched_ms_std,outlier_share_mean,outlier_share_std,gamma_mean,gamma_std,dt_bias_mean,dt_bias_std
fixed 0.003,2.0,1.5811388300841898,0.32534966155048617,0.09136296029993458,0.21926591542616408,0.1313981751102929,0.3652582942586379,0.10051189989671012,0.6833333333333333,0.1244780770524138,0.6933333333333334,0.0033580711688867876,48.0,0.0,2587.6,15.709869509324356,12.0,0.0,0.3666380499794286,0.0191642374683637,0.13333333333333333,0.06002025121203306,0.003,0.0,-22.884601066666686,27.88790999210447
drift derived,2.0,1.5811388300841898,0.42524814690866153,0.06807879472449511,0.22292490271452015,0.07579679952026812,0.23628375180380168,0.10547840434771656,0.3375578168362627,0.11074224200317806,0.6788847922705316,0.009008028134277262,46.8,0.44721359549995865,2506.2,15.401298646542761,8.6,2.3021728866442674,0.05625386664102431,0.002857252526438868,0.10249768732654949,0.06615184009365722,0.033271064666877376,0.0,-69.56544063940797,7.069432521763169
drift adaptive,2.0,1.5811388300841898,0.4241390743102877,0.1019270259256885,0.2503137320485596,0.11792892403819999,0.3512184867828054,0.10592847536330549,0.4914760914760915,0.1690690201483955,0.6718612210526321,0.0013247527944449285,37.4,0.8944271909999153,2004.6,48.98264998956261,4.2,1.7888543819998317,0.037219616679825165,0.001872195136763125,0.07567567567567568,0.08840771477727637,0.06390751668354169,0.015151674522965146,-15.588776058766475,8.488002739410643
deferral derived,2.0,1.5811388300841898,0.32204615251115615,0.06900180818711386,0.2006280582679389,0.09210882143760377,0.31366226157000904,0.101776958892259,0.6208333333333333,0.1468713061001214,0.69248,0.0028709872694309114,48.0,0.0,2584.4,10.502380682492943,12.0,0.0,0.25780831667437576,0.009130926195039607,0.1375,0.06846531968814577,0.004471917293935131,0.0,-64.13978293333334,29.391705690934085
deferral adaptive,2.0,1.5811388300841898,0.38353756546403245,0.0661523688322406,0.21975247495662634,0.04467649389520782,0.44437290556857373,0.03990563732533477,0.6399585921325052,0.07172460185282066,0.4398933333333336,0.06493518767685409,23.0,3.3166247903554,1229.6,178.1524627952137,1.4,0.5477225575051661,0.043447883331282355,0.002280172405179523,0.05739130434782609,0.05266077192570352,1.8570746370962756,0.19980815706673805,1.7618915935403616,1.0052142633933054
