n_robots,policy,seed_mean,seed_std,pose_rmse_mean,pose_rmse_std,align_rmse_mean,align_rmse_std,trust_yield_mean,trust_yield_std,n_delivered_mean,n_delivered_std
2,bacs_gated,0.5,0.7071067811865476,0.5764341876722652,0.17511705412628753,0.22500220481190464,0.07569161609431654,0.4568583244556246,0.08953687357480117,32.0,0.0
2,bacs_plus,0.5,0.7071067811865476,0.5587530970577821,0.20012189227083718,0.21365131842088197,0.09174419357345699,0.45227842194115053,0.08305991332448533,32.0,0.0
2,fifo,0.5,0.7071067811865476,0.4082585681653519,0.08110679442563991,0.3194330670037993,0.2575192322602559,0.4459278259699004,0.03652343712477177,32.0,0.0
3,bacs_gated,0.5,0.7071067811865476,0.4000970030485642,0.011521796406215538,0.18899391974848706,0.012673912352351834,0.464222046798517,0.08154781380518705,24.0,0.0
3,bacs_plus,0.5,0.7071067811865476,0.39928860501605984,0.014088344085420734,0.18365028490052118,0.005857457412072839,0.4607359073369552,0.08409182945257543,24.0,0.0
3,fifo,0.5,0.7071067811865476,0.476736708031002,0.07936884440765009,0.36986796424625623,0.034188294123341956,0.40562403095777083,0.003177670419013405,24.0,0.0
4,bacs_gated,0.5,0.7071067811865476,0.3003644586750791,0.025826901692083737,0.20256883238498902,0.052994660346332156,0.4631892483766303,0.0857876648693529,32.0,0.0
4,bacs_plus,0.5,0.7071067811865476,0.32689995131905947,0.013340719454968168,0.18939371894012696,0.04356923288542715,0.4448888758655579,0.10334802986466733,32.0,0.0
4,fifo,0.5,0.7071067811865476,0.30075493954121424,0.02938542877312129,0.1532898737603609,0.0005491363637214387,0.5179848168207992,0.04391534162759047,32.0,0.0
5,bacs_gated,0.5,0.7071067811865476,0.3027451497300807,0.11474704925739383,0.12298953246844818,0.027432769268809734,0.551812066571798,0.027011892218227695,40.0,0.0
5,bacs_plus,0.5,0.7071067811865476,0.3140192706377336,0.06589695950485155,0.11471278021836007,0.005991087040919626,0.5135390840742609,0.07006669525276975,40.0,0.0
5,fifo,0.5,0.7071067811865476,0.3198255669193444,0.0345084774137815,0.3075912900571699,0.1784276688336877,0.4820304073766475,0.024048776862664826,40.0,0.0
