stage,seed_mean,seed_std,pose_rmse_mean,pose_rmse_std,align_rmse_mean,align_rmse_std,trust_yield_mean,trust_yield_std,accept_rate_mean,accept_rate_std,airtime_util_mean,airtime_util_std,n_delivered_mean,n_delivered_std,bytes_sent_mean,bytes_sent_std,starvation_mean,starvation_std,sched_ms_mean,sched_ms_std,outlier_share_mean,outlier_share_std,gamma_mean,gamma_std,dt_bias_mean,dt_bias_std
"EMRMF-original (FIFO, drift gamma)",2.0,1.5811388300841898,0.38747437600426043,0.058004957913782275,0.27211326773658107,0.11386487106050984,0.2236012329476768,0.07268635771134316,0.39037927844588344,0.09770710053419433,0.6814580869565219,0.00803721052934122,46.6,0.547722557505166,2494.8,31.107876816009146,6.0,0.0,0.043734250020103595,0.003253427155095905,0.10296022201665125,0.04623912821161418,0.033271064666877376,0.0,-50.944046463644796,7.328306287095719
compliant FIFO (deferral gamma),2.0,1.5811388300841898,0.3891982788225973,0.05790753879095421,0.37349937146377366,0.16889589709810235,0.3677902963349976,0.010456934544728638,0.8,0.06180165405913052,0.7088355555555557,0.007209979366762123,48.0,0.0,2654.8,33.50671574475779,9.2,0.44721359549995776,0.18708043330282936,0.0027358177164727875,0.07916666666666666,0.037267799624996496,0.004471917293935131,0.0,491.35743893333284,25.262094295950295
BACS (gated),2.0,1.5811388300841898,0.32204615251115615,0.06900180818711386,0.2006280582679389,0.09210882143760377,0.31366226157000904,0.101776958892259,0.6208333333333333,0.1468713061001214,0.69248,0.0028709872694309114,48.0,0.0,2584.4,10.502380682492943,12.0,0.0,0.26128585000530313,0.010169749954218859,0.1375,0.06846531968814577,0.004471917293935131,0.0,-64.13978293333334,29.391705690934085
BACS+ (observability),2.0,1.5811388300841898,0.3285294386246388,0.07065519362821657,0.22012245710539177,0.0801004618668485,0.3020315515062798,0.08686032377753052,0.6,0.12534674130409437,0.6921955555555556,0.002612789058968696,48.0,0.0,2582.6,8.473488065725897,12.0,0.0,0.27255836666502853,0.015959727473650476,0.13333333333333333,0.047961935138422236,0.004471917293935131,0.0,-60.81667253333334,34.165477795621285
