n_robots,rho_base_mean,rho_base_sd,rho_plus_mean,rho_plus_sd,drho_mean,drho_median,n_pos,n_seeds,wilcoxon_p_greater
2,0.45302621499929796,0.12867728480740742,0.6249349179416592,0.08170490793274728,0.17190870294236132,0.16932960362614974,10,10,0.0009765625
3,0.37849420516317744,0.20274193615788094,0.6072717001223189,0.1337596254556978,0.22877749495914151,0.22926926833638778,10,10,0.0009765625
4,0.4191003096329883,0.11354009017062487,0.5472768355523127,0.0756834782748442,0.12817652591932438,0.12907463792433183,10,10,0.0009765625
5,0.49212120813715626,0.10908096008837401,0.6022830757863556,0.0827064939031778,0.1101618676491993,0.10101308805345727,10,10,0.0009765625
